,No.,Quality
http://warhammer40k.wikia.com/wiki/Scythes_of_the_Emperor,1,97.5
http://marvel.wikia.com/wiki/Dreamqueen_(Earth-616),2,95
http://inazuma-eleven.wikia.com/wiki/Gouenji_Katsuya,3,92.5
http://memorydelta.wikia.com/wiki/Spock_(mirror)_(alternate_reality),4,90
http://rageofbahamut.wikia.com/wiki/Dhampir,5,87.5
http://military.wikia.com/wiki/Project_Sign,7,85
http://memory-beta.wikia.com/wiki/Enderby,6,82.5
http://real-life-villains.wikia.com/wiki/Idelphonse_Hategekimana,8,80
http://stexpanded.wikia.com/wiki/USS_Bonchune_(NCC-70915),9,77.5
http://sonic.wikia.com/wiki/Wall_Jump_Panel,10,75
http://spacechannel5.wikia.com/wiki/Mass-produced_Peace_Carrier,11,72.5
http://www.wowwiki.com/wiki/API_LeaveParty,12,70
"http://scratchpad.wikia.com/wiki/Mr_Holden's,_Miss_Ravens_and_Mr._Hawkins_adventures_of_The_Railway_series",13,67.5
http://wiki.ffxiclopedia.org/wiki/Triton_Ring,14,65
http://swfanon.wikia.com/wiki/First_Battle_for_Coruscant_(Territorial),15,62.5
http://lunia.wikia.com/wiki/Poison_Sting_Scorpion,16,60
http://rappelz.wikia.com/wiki/Infernal_Aurumis_(Soul_Pet),17,57.5
http://vintagepatterns.wikia.com/wiki/McCall's_5212,18,55
http://ponymondawndusk.wikia.com/wiki/Light,19,52.5
http://scratchpad.wikia.com/wiki/Disney_-_Emelius_Brown_the_Disney_Character_and_Friends,20,50
http://ma-test.wikia.com/wiki/Uttaberry,21,47.5
http://coronationstreet.wikia.com/wiki/Clive_Moore,22,45
http://chipmunkstunesbabiesallstarssadventuresseries.wikia.com/wiki/Starmie,23,42.5
"http://familypedia.wikia.com/wiki/Venus,_Constanţa",24,40
http://l5r.wikia.com/wiki/Matsu_Tamekago,25,37.5
http://essence.wikia.com/wiki/Frog_Doll_1,26,35
http://lifeofheroesrp.wikia.com/wiki/Baby_Luigi,27,32.5
http://tropes.wikia.com/wiki/Sophomore_Slump,28,30
http://pixarcars.wikia.com/wiki/Jennifer_Hale,29,27.5
http://speedydeletion.wikia.com/wiki/Tixe_Ylno_(deleted_21_Jun_2008_at_14:22),30,25
http://swfanon.wikia.com/wiki/767_BBY,31,22.5
http://scratchpad.wikia.com/wiki/Jon_Arbuckle_in_Wonderland,32,20
http://darwinscratchpad.wikia.com/wiki/Dwarves_(Ark_of_Boccob),33,17.5
http://darwinscratchpad.wikia.com/wiki/Noto,34,15
http://lyrics.wikia.com/wiki/Anoushka_Shankar_&_Karsh_Kale:Sea_Dreamer,,0
http://lyrics.wikia.com/wiki/Diana_King:I_Say_A_Little_Pray_For_You,,0
http://lyrics.wikia.com/wiki/Funeral:Your_Pain_Is_Mine,,0
http://lyrics.wikia.com/wiki/Rise_Electric:Greatest_Day,,0
http://lyrics.wikia.com/wiki/Siva_Six:Opponent,,0
http://lyrics.wikia.com/wiki/VeggieTales:Dance_Of_The_Cucumber,,0
